call,call_location,call_feat_type,call_encapsule,call_encapsule_location,call_encapsule_feat_type,call_encapsule_file_class,callee,callee_location,callee_file_class,callee_feat_type
 addPaginationModel(...)             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:113:10:113:55   , MethodCall                     , processFindForm                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:91:16:91:30     , Method      , OwnerController    , addPaginationModel             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:116:17:116:34   , OwnerController    , Method      
 findByLastName(...)                 , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:128:10:128:50   , MethodCall                     , findPaginatedForOwnersLastName        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:125:22:125:51   , Method      , OwnerController    , findByLastName                 , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:58:14:58:27     , OwnerRepository    , Method      
 findById(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:133:17:133:45   , MethodCall                     , initUpdateOwnerForm                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:132:16:132:34   , Method      , OwnerController    , findById                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:67:8:67:15      , OwnerRepository    , Method      
 setId(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:146:3:146:22    , MethodCall                     , processUpdateOwnerForm                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:139:16:139:37   , Method      , OwnerController    , setId                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:43:14:43:18          , BaseEntity         , Method      
 save(...)                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:147:3:147:25    , MethodCall                     , processUpdateOwnerForm                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:139:16:139:37   , Method      , OwnerController    , save                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:73:7:73:10      , OwnerRepository    , Method      
 findById(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:160:17:160:45   , MethodCall                     , showOwner                             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java:158:22:158:30   , Method      , OwnerController    , findById                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:67:8:67:15      , OwnerRepository    , Method      
 super(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:45:14:45:16                 , SuperConstructorInvocationStmt , Pet                                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:45:14:45:16                 , Constructor , Pet                , NamedEntity                    , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:29:14:29:24         , NamedEntity        , Constructor 
 <obinit>(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:45:14:45:16                 , MethodCall                     , Pet                                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:45:14:45:16                 , Constructor , Pet                , <obinit>                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:45:14:45:16                 , Pet                , Method      
 getVisits(...)                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:81:3:81:13                  , MethodCall                     , addVisit                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:80:14:80:21                 , Method      , Pet                , getVisits                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java:76:27:76:35                 , Pet                , Method      
 findPetTypes(...)                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/PetController.java:55:10:55:35       , MethodCall                     , populatePetTypes                      , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/PetController.java:54:29:54:44       , Method      , PetController      , findPetTypes                   , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:46:16:46:27     , OwnerRepository    , Method      
 findById(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/PetController.java:61:17:61:45       , MethodCall                     , findOwner                             , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/PetController.java:59:15:59:23       , Method      , PetController      , findById                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java:67:8:67:15      , OwnerRepository    , Method      
